id,operational_order_id,produto,quantidade,unidade,created_at,lote,valor_unitario
702d40bf-4a74-4aa6-983e-bb21cdc4961f,6b28ef14-de10-4ea5-b36b-099c1aa3a4cb,CD_AMOSTRA_ORIGINAL,1,un,2026-03-05 18:07:50.667104+00,,
5aa46620-81b9-49e7-8eeb-6d433ba238d1,a742ab39-f9d2-46ff-8e88-dc4522797005,LF_FARINHA_BSF_DESENGORDURADA,13,kg,2026-03-12 23:34:27.671786+00,FDEG23102025C,44.00
6d306094-81d0-44bb-95d6-e21183795f97,a742ab39-f9d2-46ff-8e88-dc4522797005,LF_FARINHA_BSF_DESENGORDURADA,5,kg,2026-03-12 23:34:27.671786+00,FDEG08102025C,44.00
1072a6cf-e2f6-465e-856a-32cd2ed70fd7,ef141fe4-64a4-4aa3-863d-d0dfdf40d7b4,CD_AMOSTRA_GATOS,1,un,2026-03-06 00:49:07.99419+00,,
688bfc49-e668-4724-8082-35a2ab9fe326,31c5c430-2033-4b95-8469-d43708c3cec8,CD_AMOSTRA_GATOS,1,un,2026-03-06 00:49:18.147678+00,,
1a6f9429-0902-45f2-99a7-66438525de4a,f65d12df-28e1-46e6-8e31-df792e409d5d,CD_SUPLEMENTO_GATOS_180G,1,un,2026-03-06 00:49:33.270676+00,,
c3802769-4b8b-424c-ba0b-65053ed18374,f65d12df-28e1-46e6-8e31-df792e409d5d,CD_AMOSTRA_GATOS,1,un,2026-03-06 00:49:33.270676+00,,
c8368e98-3e9a-47a9-b36e-9c42d6822620,c3a21f36-56c9-4f0a-9512-c63a2a45ae0e,CD_AMOSTRA_GATOS,1,un,2026-03-06 00:49:45.529871+00,,
a46b7ef3-51ed-4d99-a1fd-70bd253df986,5feb4806-4ae1-4713-a5c1-9cc4c43ffa61,CD_AMOSTRA_GATOS,1,un,2026-03-06 12:11:36.988497+00,,
5bab991c-c68a-40c9-a268-7dc77fbef087,5feb4806-4ae1-4713-a5c1-9cc4c43ffa61,CD_AMOSTRA_ORIGINAL,1,un,2026-03-06 12:11:36.988497+00,,
64e96373-b419-4c99-a0ea-e340915a0453,5feb4806-4ae1-4713-a5c1-9cc4c43ffa61,CD_QR_CODE,1,un,2026-03-06 12:11:36.988497+00,,
61dbfba0-d73f-42d9-b9a3-220931636f6a,5feb4806-4ae1-4713-a5c1-9cc4c43ffa61,CD_ADESIVO,1,un,2026-03-06 12:11:36.988497+00,,
af91c17f-6c0a-4fb5-978f-4b589e766b01,7a980a33-1998-4930-b12a-0c05011136aa,CD_ORIGINAL_90G,1,un,2026-03-06 13:03:59.183777+00,,
